query_id,category,language,scenario,search_country,search_city,latitude,longitude,device,engine,surface,query,expected_language_path,active
fr_pre_trip_origin_mobile_004,bike,fr,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,location vélo Barcelone plage,/fr/,false
fr_pre_trip_origin_desktop_004,bike,fr,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,location vélo Barcelone plage,/fr/,false
it_pre_trip_origin_mobile_001,scooter,it,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,noleggio scooter Barcellona,/it/,false
it_pre_trip_origin_desktop_001,scooter,it,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,noleggio scooter Barcellona,/it/,false
it_pre_trip_origin_mobile_002,motorbike,it,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,noleggio moto Barcellona,/it/,false
it_pre_trip_origin_desktop_002,motorbike,it,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,noleggio moto Barcellona,/it/,false
it_pre_trip_origin_mobile_003,rollerblades,it,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,noleggio pattini Barcellona,/it/,false
it_pre_trip_origin_desktop_003,rollerblades,it,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,noleggio pattini Barcellona,/it/,false
it_pre_trip_origin_mobile_004,bike,it,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,noleggio biciclette Barcellona spiaggia,/it/,false
it_pre_trip_origin_desktop_004,bike,it,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,noleggio biciclette Barcellona spiaggia,/it/,false
de_pre_trip_origin_mobile_001,rollerblades,de,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,Motorroller mieten Barcelona,/de/,false
de_pre_trip_origin_desktop_001,rollerblades,de,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,Motorroller mieten Barcelona,/de/,false
de_pre_trip_origin_mobile_002,motorbike,de,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,Motorrad mieten Barcelona,/de/,false
de_pre_trip_origin_desktop_002,motorbike,de,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,Motorrad mieten Barcelona,/de/,false
de_pre_trip_origin_mobile_003,rollerblades,de,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,Inlineskates mieten Barcelona,/de/,false
de_pre_trip_origin_desktop_003,rollerblades,de,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,Inlineskates mieten Barcelona,/de/,false
de_pre_trip_origin_mobile_004,bike,de,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,Fahrradverleih Barcelona Strand,/de/,false
de_pre_trip_origin_desktop_004,bike,de,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,Fahrradverleih Barcelona Strand,/de/,false
nl_pre_trip_origin_mobile_001,scooter,nl,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,scooter huren Barcelona,/nl/,false
nl_pre_trip_origin_desktop_001,scooter,nl,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,scooter huren Barcelona,/nl/,false
nl_pre_trip_origin_mobile_002,motorbike,nl,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,motor huren Barcelona,/nl/,false
nl_pre_trip_origin_desktop_002,motorbike,nl,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,motor huren Barcelona,/nl/,false
nl_pre_trip_origin_mobile_003,rollerblades,nl,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,skeelers huren Barcelona,/nl/,false
nl_pre_trip_origin_desktop_003,rollerblades,nl,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,skeelers huren Barcelona,/nl/,false
nl_pre_trip_origin_mobile_004,bike,nl,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,fiets huren Barcelona strand,/nl/,false
nl_pre_trip_origin_desktop_004,bike,nl,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,fiets huren Barcelona strand,/nl/,false
pt_pre_trip_origin_mobile_001,scooter,pt,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,aluguel de scooter Barcelona,/pt/,false
pt_pre_trip_origin_desktop_001,scooter,pt,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,aluguel de scooter Barcelona,/pt/,false
pt_pre_trip_origin_mobile_002,motorbike,pt,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,aluguel de moto Barcelona,/pt/,false
pt_pre_trip_origin_desktop_002,motorbike,pt,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,aluguel de moto Barcelona,/pt/,false
pt_pre_trip_origin_mobile_003,rollerblades,pt,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,aluguel de patins Barcelona,/pt/,false
pt_pre_trip_origin_desktop_003,rollerblades,pt,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,aluguel de patins Barcelona,/pt/,false
pt_pre_trip_origin_mobile_004,bike,pt,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,aluguel de bicicleta Barcelona praia,/pt/,false
pt_pre_trip_origin_desktop_004,bike,pt,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,aluguel de bicicleta Barcelona praia,/pt/,false
ca_pre_trip_origin_mobile_001,scooter,ca,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,lloguer de scooters Barcelona,/cat/,false
ca_pre_trip_origin_desktop_001,scooter,ca,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,lloguer de scooters Barcelona,/cat/,false
ca_pre_trip_origin_mobile_002,motorbike,ca,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,lloguer de motos Barcelona,/cat/,false
ca_pre_trip_origin_desktop_002,motorbike,ca,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,lloguer de motos Barcelona,/cat/,false
ca_pre_trip_origin_mobile_003,rollerblades,ca,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,lloguer de patins Barcelona,/cat/,false
ca_pre_trip_origin_desktop_003,rollerblades,ca,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,lloguer de patins Barcelona,/cat/,false
ca_pre_trip_origin_mobile_004,bike,ca,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,lloguer de bicicletes Barcelona platja,/cat/,false
ca_pre_trip_origin_desktop_004,bike,ca,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,lloguer de bicicletes Barcelona platja,/cat/,false
sv_pre_trip_origin_mobile_001,scooter,sv,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,hyra scooter Barcelona,/sv/,false
sv_pre_trip_origin_desktop_001,scooter,sv,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,hyra scooter Barcelona,/sv/,false
sv_pre_trip_origin_mobile_002,bike,sv,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,hyra motorcykel Barcelona,/sv/,false
sv_pre_trip_origin_desktop_002,bike,sv,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,hyra motorcykel Barcelona,/sv/,false
sv_pre_trip_origin_mobile_003,rollerblades,sv,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,hyra inlines Barcelona,/sv/,false
sv_pre_trip_origin_desktop_003,rollerblades,sv,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,hyra inlines Barcelona,/sv/,false
sv_pre_trip_origin_mobile_004,bike,sv,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,cykeluthyrning Barcelona strand,/sv/,false
sv_pre_trip_origin_desktop_004,bike,sv,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,cykeluthyrning Barcelona strand,/sv/,false
pl_pre_trip_origin_mobile_001,scooter,pl,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,wynajem skutera Barcelona,/pl/,false
pl_pre_trip_origin_desktop_001,scooter,pl,PRE_TRIP_ORIGIN,,,,,desktop,google,search_console,wynajem skutera Barcelona,/pl/,false
pl_pre_trip_origin_mobile_002,motorbike,pl,PRE_TRIP_ORIGIN,,,,,mobile,google,search_console,wynajem motocykla Barcelona,/pl/,false
